song,total,write,read,dwt,gen_fpid
song103_extra.wav,0.267813,0.063455,0.006866,0.119221,0.062847
song104_extra.wav,0.267860,0.063291,0.006915,0.119197,0.062909
song108_extra.wav,0.273502,0.069109,0.006937,0.119146,0.062881
song13_extra.wav,0.267951,0.063337,0.006943,0.119259,0.062885
song25_extra.wav,0.267515,0.063087,0.006920,0.119178,0.062834
song29_extra.wav,0.266572,0.062096,0.006919,0.119116,0.062807
song2_extra.wav,0.268508,0.062980,0.007012,0.119713,0.063007
song30_extra.wav,0.246402,0.063245,0.006874,0.097606,0.062954
song31_extra.wav,0.267791,0.062976,0.007262,0.119171,0.062923
song32_extra.wav,0.281699,0.063046,0.006959,0.119186,0.077141
song33_extra.wav,0.267837,0.063612,0.006869,0.119145,0.062862
song34_extra.wav,0.267357,0.062831,0.006933,0.119275,0.062963
song35_extra.wav,0.267714,0.063191,0.006955,0.119197,0.062858
song36_extra.wav,0.267955,0.063304,0.006986,0.119295,0.062942
song37_extra.wav,0.267563,0.063121,0.007041,0.118997,0.062828
song38_extra.wav,0.267373,0.063080,0.006938,0.119104,0.062875
song39_extra.wav,0.267155,0.062773,0.006923,0.119078,0.062850
song3_extra.wav,0.266682,0.062511,0.006930,0.119039,0.062888
song40_extra.wav,0.267360,0.062896,0.006890,0.119104,0.062870
song41_extra.wav,0.266969,0.062383,0.006986,0.119211,0.062963
song42_extra.wav,0.255926,0.063429,0.007334,0.106764,0.062836
song43_extra.wav,0.267327,0.063031,0.006878,0.119160,0.062903
song48_extra.wav,0.275908,0.062844,0.007031,0.119643,0.070569
song55_extra.wav,0.267169,0.062512,0.007021,0.119209,0.062942
song62_extra.wav,0.268256,0.063755,0.006907,0.119218,0.062895
song6_extra.wav,0.267576,0.062909,0.006912,0.119194,0.062982
song77_extra.wav,0.267331,0.062966,0.006912,0.119249,0.062827
song84_extra.wav,0.268072,0.063515,0.006910,0.119202,0.062859
song91_extra.wav,0.272999,0.068721,0.006894,0.119136,0.062863
song99_extra.wav,0.267006,0.062747,0.006900,0.119079,0.062823
song110.wav,0.267062,0.062584,0.006919,0.119299,0.062851
song112.wav,0.267658,0.063032,0.006939,0.119207,0.062910
song114.wav,0.267288,0.062659,0.006979,0.119234,0.062945
song116.wav,0.246225,0.063022,0.006848,0.097951,0.062942
song118.wav,0.267312,0.062800,0.006905,0.119279,0.062895
song121.wav,0.280533,0.062895,0.006985,0.119233,0.075967
song122.wav,0.267545,0.062724,0.007228,0.119327,0.062765
song123.wav,0.266517,0.062181,0.006944,0.119208,0.062871
song124.wav,0.268871,0.062456,0.006992,0.120607,0.062943
song125.wav,0.267498,0.062630,0.007292,0.119272,0.062870
song126.wav,0.267185,0.062867,0.006861,0.119121,0.062858
song127.wav,0.266967,0.062688,0.006862,0.119181,0.062858
song128.wav,0.266911,0.062421,0.006898,0.119193,0.062873
song129.wav,0.267282,0.062878,0.006843,0.119362,0.062871
song12.wav,0.267470,0.062999,0.006891,0.119150,0.062894
song130.wav,0.267193,0.062830,0.006920,0.119245,0.062878
song131.wav,0.240088,0.063038,0.007475,0.091039,0.062932
song132.wav,0.267323,0.062730,0.007083,0.119301,0.062897
song133.wav,0.281736,0.063037,0.006950,0.119249,0.076982
song134.wav,0.267636,0.063228,0.006947,0.119192,0.062883
song135.wav,0.267873,0.063523,0.006862,0.119211,0.062884
song136.wav,0.274355,0.069946,0.006928,0.119099,0.062876
song137.wav,0.267072,0.062886,0.006850,0.119109,0.062830
song138.wav,0.267977,0.063612,0.006992,0.119061,0.062860
song139.wav,0.268124,0.062720,0.007016,0.119692,0.062944
song13.wav,0.268001,0.063362,0.007032,0.119142,0.062874
song140.wav,0.271028,0.066652,0.006895,0.119279,0.062873
song141.wav,0.270791,0.066142,0.007050,0.119098,0.062858
song142.wav,0.267548,0.062628,0.007242,0.119380,0.062820
song143.wav,0.277355,0.062430,0.006987,0.129644,0.062825
song144.wav,0.267241,0.062788,0.006904,0.119212,0.062914
song145.wav,0.238510,0.063319,0.007135,0.089574,0.062938
song146.wav,0.267478,0.063020,0.006925,0.119235,0.062854
song147.wav,0.270529,0.062923,0.007046,0.119254,0.065663
song148.wav,0.267293,0.062965,0.006880,0.119158,0.062873
song149.wav,0.267521,0.063001,0.006901,0.119244,0.062890
song14.wav,0.267677,0.063286,0.006879,0.119099,0.062841
song150.wav,0.267375,0.062952,0.006954,0.119142,0.062912
song151.wav,0.267588,0.063147,0.006896,0.119074,0.062904
song152.wav,0.267623,0.063203,0.006951,0.119187,0.062930
song153.wav,0.271678,0.066000,0.007017,0.119698,0.062886
song154.wav,0.267766,0.062930,0.006924,0.119420,0.062862
song155.wav,0.269849,0.062726,0.006922,0.121958,0.062786
song156.wav,0.267318,0.062754,0.006988,0.119177,0.062919
song157.wav,0.281692,0.062722,0.006978,0.133507,0.062839
song158.wav,0.267455,0.063052,0.006917,0.119278,0.062835
song159.wav,0.279514,0.062732,0.007010,0.119241,0.074867
song15.wav,0.267353,0.062751,0.006882,0.119174,0.062943
song160.wav,0.269566,0.063038,0.006981,0.119357,0.062901
song161.wav,0.267690,0.063425,0.007004,0.119125,0.062803
song162.wav,0.267595,0.062949,0.007104,0.119235,0.062852
song163.wav,0.266807,0.062528,0.006907,0.119089,0.062823
song164.wav,0.267390,0.063076,0.006886,0.119217,0.062865
song165.wav,0.266621,0.062400,0.006840,0.119073,0.062873
song166.wav,0.267273,0.062809,0.006909,0.119262,0.062816
song167.wav,0.269461,0.064886,0.007092,0.119060,0.062905
song168.wav,0.268059,0.062728,0.006949,0.119658,0.062933
song169.wav,0.269601,0.062886,0.007133,0.121083,0.062921
song16.wav,0.267390,0.062968,0.006920,0.119256,0.062891
song170.wav,0.285573,0.062949,0.006963,0.137139,0.062879
song171.wav,0.267133,0.062748,0.006906,0.119169,0.062888
song172.wav,0.271596,0.063229,0.007032,0.119237,0.066612
song173.wav,0.267645,0.063189,0.006918,0.119287,0.062804
song174.wav,0.267433,0.063019,0.006974,0.119203,0.062902
song175.wav,0.267683,0.062999,0.007038,0.119178,0.062876
song176.wav,0.267500,0.063079,0.006983,0.119194,0.062900
song177.wav,0.268238,0.063357,0.007341,0.119167,0.062881
song178.wav,0.267461,0.062506,0.007308,0.119451,0.062812
song179.wav,0.267722,0.063069,0.006953,0.119181,0.062826
song17.wav,0.267437,0.063129,0.006918,0.119130,0.062894
song180.wav,0.275902,0.070919,0.007136,0.119233,0.062878
song181.wav,0.267869,0.062859,0.007302,0.119322,0.062892
song182.wav,0.273112,0.063243,0.007010,0.120259,0.062862
song183.wav,0.268036,0.063208,0.007154,0.119136,0.062873
song184.wav,0.269040,0.063419,0.006984,0.120139,0.062911
song185.wav,0.272527,0.067846,0.007188,0.119212,0.062896
song186.wav,0.271410,0.062795,0.006873,0.119349,0.066841
song187.wav,0.267617,0.063085,0.006938,0.119232,0.062886
song188.wav,0.272674,0.063013,0.011871,0.119286,0.062829
song189.wav,0.268310,0.063682,0.006911,0.119216,0.062994
song18.wav,0.272907,0.068341,0.006894,0.119275,0.062876
song190.wav,0.267651,0.062978,0.006986,0.119221,0.062801
song191.wav,0.267435,0.063134,0.006896,0.119201,0.062859
