song,total,write,read,dwt,gen_fpid
song93_extra.wav,0.251801,0.067933,0.007314,0.036494,0.119257
song94_extra.wav,0.285690,0.067999,0.007385,0.070611,0.119061
song95_extra.wav,0.288242,0.070755,0.007264,0.070403,0.119142
song96_extra.wav,0.285026,0.067739,0.007247,0.070534,0.119112
song97_extra.wav,0.285164,0.067975,0.007299,0.070489,0.119059
song98_extra.wav,0.285782,0.068331,0.007337,0.070565,0.119087
song9_extra.wav,0.284981,0.067378,0.007351,0.070485,0.119189
song0.wav,0.271066,0.067608,0.007344,0.070553,0.104862
song10.wav,0.284419,0.066944,0.007268,0.070582,0.119064
song111.wav,0.287500,0.066076,0.006896,0.078159,0.117716
song113.wav,0.278019,0.065725,0.006897,0.069039,0.117711
song115.wav,0.281036,0.068745,0.006917,0.068761,0.117732
song117.wav,0.277521,0.065423,0.006911,0.068938,0.117711
song119.wav,0.284435,0.072844,0.006836,0.068735,0.117603
song120.wav,0.278438,0.066392,0.006919,0.068811,0.117736
song105_extra.wav,0.277849,0.065889,0.006899,0.068875,0.117718
song106_extra.wav,0.278076,0.065978,0.006897,0.068919,0.117783
song107_extra.wav,0.280114,0.065726,0.006896,0.068714,0.119898
song109_extra.wav,0.286216,0.078315,0.006520,0.067520,0.116498
song10_extra.wav,0.271667,0.064029,0.006535,0.067553,0.116595
song11_extra.wav,0.272334,0.064694,0.006514,0.067615,0.116549
song1_extra.wav,0.272097,0.064390,0.006587,0.067508,0.116605
song0_extra.wav,0.281146,0.071338,0.006562,0.067541,0.116607
song100_extra.wav,0.272043,0.064299,0.006593,0.067508,0.116613
song101_extra.wav,0.274501,0.064860,0.008373,0.067499,0.116629
song102_extra.wav,0.272083,0.064324,0.006584,0.067584,0.116565
song103_extra.wav,0.276519,0.064827,0.006695,0.067506,0.120225
song104_extra.wav,0.272343,0.064575,0.006619,0.067599,0.116438
song108_extra.wav,0.253201,0.063476,0.006479,0.066513,0.100774
song13_extra.wav,0.275316,0.070796,0.006559,0.066447,0.115651
song25_extra.wav,0.268303,0.064060,0.006219,0.066510,0.115732
song29_extra.wav,0.267532,0.063073,0.006382,0.066488,0.115651
song2_extra.wav,0.267775,0.063336,0.006316,0.066588,0.115665
song30_extra.wav,0.267696,0.063270,0.006455,0.066387,0.115670
song31_extra.wav,0.268785,0.064312,0.006274,0.066510,0.115769
song32_extra.wav,0.268227,0.063873,0.006391,0.066398,0.115641
song33_extra.wav,0.267601,0.063001,0.006380,0.066604,0.115777
song34_extra.wav,0.267649,0.063180,0.006414,0.066491,0.115697
song35_extra.wav,0.274001,0.069659,0.006326,0.066411,0.115715
song36_extra.wav,0.267789,0.063591,0.006337,0.066357,0.115733
song37_extra.wav,0.267932,0.063496,0.006333,0.066564,0.115669
song38_extra.wav,0.267317,0.062874,0.006386,0.066404,0.115722
song39_extra.wav,0.267861,0.063473,0.006378,0.066373,0.115709
song3_extra.wav,0.267256,0.063168,0.006362,0.066359,0.115562
song40_extra.wav,0.268063,0.063731,0.006384,0.066506,0.115600
song41_extra.wav,0.268828,0.064199,0.006623,0.066391,0.115644
song42_extra.wav,0.267879,0.063556,0.006279,0.066578,0.115600
song43_extra.wav,0.268186,0.063836,0.006372,0.066319,0.115733
song48_extra.wav,0.267826,0.063311,0.006369,0.066505,0.115677
song55_extra.wav,0.277082,0.063631,0.006322,0.075540,0.115705
song62_extra.wav,0.268576,0.064114,0.006400,0.066497,0.115688
song6_extra.wav,0.251645,0.063315,0.006340,0.050096,0.115794
song77_extra.wav,0.268380,0.063871,0.006369,0.066548,0.115688
song84_extra.wav,0.234923,0.063230,0.006382,0.066496,0.082916
song91_extra.wav,0.267739,0.062889,0.006441,0.066568,0.115848
song99_extra.wav,0.249629,0.063960,0.006361,0.066428,0.097003
song110.wav,0.267815,0.063561,0.006332,0.066405,0.115657
song112.wav,0.268726,0.064527,0.006365,0.066429,0.115645
song114.wav,0.267917,0.063513,0.006317,0.066503,0.115683
song116.wav,0.267847,0.063694,0.006294,0.066388,0.115624
song118.wav,0.267459,0.063245,0.006282,0.066359,0.115714
song121.wav,0.267718,0.063464,0.006335,0.066370,0.115670
song122.wav,0.268862,0.064354,0.006325,0.066503,0.115730
song123.wav,0.267537,0.063062,0.006329,0.066640,0.115656
song124.wav,0.267728,0.063494,0.006304,0.066417,0.115642
song125.wav,0.268184,0.063748,0.006328,0.066481,0.115714
song126.wav,0.267577,0.063115,0.006305,0.066466,0.115695
song127.wav,0.267714,0.063189,0.006394,0.066613,0.115639
song128.wav,0.267293,0.063054,0.006335,0.066462,0.115672
song129.wav,0.267529,0.063273,0.006340,0.066424,0.115657
song12.wav,0.268759,0.063219,0.006331,0.067662,0.115658
