song_names,total_time
song548.wav,0.020331
song549.wav,0.020903
song54.wav,0.019439
song550.wav,0.021946
song551.wav,0.020394
song552.wav,0.020590
song553.wav,0.020986
song554.wav,0.020677
song555.wav,0.019936
song556.wav,0.020748
song557.wav,0.021003
song558.wav,0.020105
song559.wav,0.020020
song55.wav,0.020910
song560.wav,0.019820
song561.wav,0.020321
song562.wav,0.020236
song563.wav,0.020081
song564.wav,0.021311
song565.wav,0.021329
song566.wav,0.020374
song567.wav,0.018641
song568.wav,0.018086
song569.wav,0.022223
song56.wav,0.020569
song570.wav,0.019461
song571.wav,0.020849
song572.wav,0.019467
song573.wav,0.019880
song574.wav,0.019761
song575.wav,0.020100
song576.wav,0.020396
song577.wav,0.020128
song578.wav,0.020150
song579.wav,0.021553
song57.wav,0.021029
song580.wav,0.020806
song581.wav,0.021599
song582.wav,0.020232
song583.wav,0.021003
song584.wav,0.022110
song585.wav,0.020130
song586.wav,0.020701
song587.wav,0.020478
song588.wav,0.018548
song589.wav,0.019198
song58.wav,0.019699
song590.wav,0.020584
song591.wav,0.020914
song592.wav,0.021297
song593.wav,0.017827
song594.wav,0.021286
song595.wav,0.020692
song596.wav,0.021173
song597.wav,0.021053
song598.wav,0.020795
song599.wav,0.020798
song59.wav,0.018286
song5.wav,0.021910
song600.wav,0.020437
song601.wav,0.021253
song602.wav,0.019550
song603.wav,0.020511
song604.wav,0.020215
song605.wav,0.020079
song606.wav,0.020033
song607.wav,0.021841
song608.wav,0.022106
song609.wav,0.019826
song60.wav,0.020558
song610.wav,0.020698
song611.wav,0.020342
song612.wav,0.018269
song613.wav,0.020895
song614.wav,0.020988
song615.wav,0.019614
song616.wav,0.019988
song617.wav,0.019221
song618.wav,0.020716
song619.wav,0.021927
song61.wav,0.020312
song620.wav,0.021892
song621.wav,0.020016
song622.wav,0.022268
song623.wav,0.020802
song624.wav,0.020429
song625.wav,0.020627
song626.wav,0.019537
song627.wav,0.020895
song628.wav,0.019701
song629.wav,0.021370
song62.wav,0.020869
song630.wav,0.021029
song631.wav,0.020683
song632.wav,0.021962
song633.wav,0.020687
song634.wav,0.019828
song635.wav,0.019206
song636.wav,0.018451
song637.wav,0.019992
song638.wav,0.019683
song639.wav,0.019554
song63.wav,0.019906
song640.wav,0.020722
song641.wav,0.020653
song642.wav,0.020813
song643.wav,0.021266
song644.wav,0.019953
song645.wav,0.020735
song646.wav,0.022771
song647.wav,0.022044
song648.wav,0.021152
song649.wav,0.020357
song64.wav,0.021402
song650.wav,0.019085
song651.wav,0.020767
song652.wav,0.021651
song653.wav,0.018558
song654.wav,0.021288
song655.wav,0.019927
song656.wav,0.021633
song657.wav,0.020709
song658.wav,0.020955
song659.wav,0.020338
song65.wav,0.019940
song660.wav,0.017637
song661.wav,0.019707
song662.wav,0.021234
song663.wav,0.021450
song664.wav,0.020865
song665.wav,0.019474
song666.wav,0.020973
song667.wav,0.021277
song668.wav,0.021480
song669.wav,0.020083
song66.wav,0.020072
song670.wav,0.019941
song671.wav,0.019569
song672.wav,0.021709
song673.wav,0.021448
song674.wav,0.019822
song675.wav,0.020571
song676.wav,0.021322
song677.wav,0.018984
song678.wav,0.020819
song679.wav,0.020973
song67.wav,0.019215
song680.wav,0.023862
song681.wav,0.021150
song682.wav,0.021260
song683.wav,0.021797
song684.wav,0.019420
song685.wav,0.021130
song686.wav,0.020044
song687.wav,0.019195
song688.wav,0.020586
song689.wav,0.021599
song68.wav,0.019943
song690.wav,0.021605
song691.wav,0.020687
song692.wav,0.020346
song693.wav,0.019068
song694.wav,0.018975
song695.wav,0.020063
song696.wav,0.020647
song697.wav,0.020731
song698.wav,0.021167
song699.wav,0.019345
song69.wav,0.021627
song6.wav,0.023741
song700.wav,0.019826
song701.wav,0.019854
song702.wav,0.021745
song703.wav,0.020090
song704.wav,0.018859
song705.wav,0.019860
song706.wav,0.021048
song707.wav,0.021806
song708.wav,0.021419
song709.wav,0.021491
song70.wav,0.022003
song710.wav,0.019988
song711.wav,0.019720
song712.wav,0.021484
song713.wav,0.020143
song714.wav,0.019934
song715.wav,0.020120
song716.wav,0.018900
song717.wav,0.021204
song718.wav,0.019521
song719.wav,0.021350
song71.wav,0.021305
song720.wav,0.020718
song721.wav,0.020565
song722.wav,0.020938
song723.wav,0.020916
song724.wav,0.020633
song725.wav,0.019772
song726.wav,0.020733
song727.wav,0.021141
song728.wav,0.020120
song729.wav,0.020690
song72.wav,0.020610
song730.wav,0.020258
song731.wav,0.021247
song732.wav,0.020253
song733.wav,0.020383
song734.wav,0.021350
song735.wav,0.021517
song736.wav,0.021150
song737.wav,0.020683
song738.wav,0.020405
song739.wav,0.022156
song73.wav,0.020664
song740.wav,0.021648
song741.wav,0.020083
song742.wav,0.021156
song743.wav,0.020519
song744.wav,0.021169
song745.wav,0.020238
song746.wav,0.018504
song747.wav,0.020759
song748.wav,0.019647
song749.wav,0.020659
song74.wav,0.020945
song750.wav,0.020213
song751.wav,0.021469
song752.wav,0.021191
song753.wav,0.020679
song754.wav,0.019450
song755.wav,0.019336
song756.wav,0.019001
song757.wav,0.020374
song758.wav,0.020701
song759.wav,0.020705
song75.wav,0.018295
song760.wav,0.019724
song761.wav,0.020994
song762.wav,0.020348
song763.wav,0.020966
song764.wav,0.020226
song765.wav,0.020234
song766.wav,0.021599
song767.wav,0.020098
song768.wav,0.020279
song769.wav,0.018457
song76.wav,0.021299
song770.wav,0.020707
song771.wav,0.021042
song772.wav,0.020754
song773.wav,0.020776
song774.wav,0.020213
song775.wav,0.021415
